DAY,MAX_T,MIN_T,HUM,SMOKE
ju-2,39.77977851,27.46825109,38.55489028,111.8
ju-3,39.75167122,27.52435983,39.01080177,30
ju-4,39.71825132,27.57665235,39.48617813,4.66
ju-5,39.67951881,27.62512866,39.98101936,48.72
ju-6,39.63547369,27.66978875,40.49532548,49.7
ju-7,39.58611595,27.71063263,41.02909647,48.1
ju-8,39.5314456,27.7476603,41.58233234,47.43
ju-9,39.47146264,27.78087175,42.15503309,51.74
ju-10,39.40616706,27.81026699,42.74719871,42.68
ju-11,39.33555888,27.83584602,43.35882922,38.45
ju-12,39.25963808,27.85760884,43.9899246,46.69
ju-13,39.17840466,27.87555544,44.64048485,55.27
ju-14,39.09185864,27.88968583,45.31050999,149.03
ju-15,39,27.9,46,86.57
ju-16,38.90282875,27.90649796,46.70895489,111.77
ju-17,38.80034489,27.90917971,47.43737466,151.4
ju-18,38.69254841,27.90804524,48.1852593,51.35
ju-19,38.57943932,27.90309457,48.95260882,65.37
ju-20,38.46101762,27.89432767,49.73942322,56.28
ju-21,38.3372833,27.88174457,50.5457025,48.17
ju-22,38.20823638,27.86534525,51.37144666,33.56
ju-23,38.07387684,27.84512972,52.21665569,31.3
ju-24,37.93420469,27.82109797,53.0813296,48.12
ju-25,37.78921992,27.79325002,53.96546839,57.11
ju-26,37.63892254,27.76158584,54.86907205,34.72
ju-27,37.48331255,27.72610546,55.79214059,29.22
ju-28,37.32238995,27.68680886,56.73467401,29.79
ju-29,37.15615473,27.64369605,57.69667231,59.95
ju-30,36.9846069,27.59676703,58.67813549,19.2
jy-1,36.81275146,27.54853341,59.65357079,19.52
jy-2,36.64559339,27.50150681,60.59748547,35.16
jy-3,36.48313271,27.45568723,61.50987954,33.03
jy-4,36.3253694,27.41107467,62.39075298,40.95
jy-5,36.17230347,27.36766914,63.24010581,40.29
jy-6,36.02393491,27.32547063,64.05793802,41.16
jy-7,35.88026374,27.28447914,64.8442496,36.12
jy-8,35.74128995,27.24469467,65.59904057,28.51
jy-9,35.60701353,27.20611722,66.32231092,31.59
jy-10,35.4774345,27.1687468,67.01406065,42.56
jy-11,35.35255284,27.1325834,67.67428976,48.12
jy-12,35.23236856,27.09762701,68.30299825,37.09
jy-13,35.11688166,27.06387765,68.90018612,33.4
jy-14,35.00609214,27.03133532,69.46585337,38.64
jy-15,34.9,27,70,40.49
jy-16,34.79860524,26.96987171,70.50262601,41.37
jy-17,34.70190785,26.94095043,70.9737314,44.56
jy-18,34.60990785,26.91323618,71.41331618,65.68
jy-19,34.52260522,26.88672895,71.82138033,33.34
jy-20,34.43999997,26.86142874,72.19792387,39.17
jy-21,34.3620921,26.83733556,72.54294678,34
jy-22,34.28888161,26.81444939,72.85644908,36.38
